intron	logef	AD	CTRL	deltapsi
chr10:134892:179994:clu_1053_+	0.300097391844772	0.11576065910947	0.170149960372617	0.0543893012631474
chr10:135203:179994:clu_1053_+	0.223953336128315	0.0329964505424486	0.0449437331353749	0.0119472825929263
chr10:135302:179994:clu_1053_+	-0.45284142006998	0.243122648924368	0.16830581031534	-0.0748168386090283
chr10:135559:179994:clu_1053_+	-0.0712093079031073	0.608120241423713	0.616600496176668	0.00848025475295466
chr10:210048:221195:clu_1054_+	-0.0783005262637636	0.224576194242845	0.205427690460434	-0.0191485037824108
chr10:210048:236838:clu_1054_+	0.149733963796099	0.35255323144174	0.40509239138977	0.0525391599480298
chr10:221356:236838:clu_1054_+	-0.0714334375323356	0.422870574315415	0.389479918149796	-0.0333906561656191
chr10:236915:237585:clu_1055_+	0.00925973302720991	0.6713221556235	0.676693154792154	0.0053709991686548
chr10:236915:239438:clu_1055_+	0.00722759405429892	0.0178442907814922	0.0179505412390864	0.000106250457594201
chr10:237677:239438:clu_1055_+	-0.0164873270815088	0.310833553595008	0.305356303968759	-0.00547724962624907
chr10:246973:247398:clu_1056_+	-0.0251983437196962	0.625257442695037	0.627889607675933	0.00263216498089558
chr10:246973:248336:clu_1056_+	0.0641302019280166	0.00858494221177274	0.00942663508866474	0.000841692876892003
chr10:247466:248336:clu_1056_+	-0.0389318582083203	0.36615761509319	0.362683757235402	-0.0034738578577877
chr10:5048895:5096410:clu_1061_+	0.226879258811531	0.337181133842938	0.444696457369961	0.107515323527024
chr10:5094528:5096410:clu_1061_+	-0.226879258811531	0.662818866157062	0.555303542630039	-0.107515323527024
chr10:5685175:5709530:clu_1063_+	-0.190293849635098	0.0595729678242499	0.0486721068598282	-0.0109008609644217
chr10:5685175:5712823:clu_1063_+	-0.0738909810516067	0.27608839104671	0.25341491884607	-0.0226734722006393
chr10:5699737:5709530:clu_1063_+	0.138123010866893	0.258747719772529	0.293587168852568	0.0348394490800389
chr10:5709663:5712394:clu_1063_+	0.189322228819658	0.100751223533642	0.120322377986889	0.0195711544532477
chr10:5709663:5712823:clu_1063_+	0.0166112596249119	0.0634811988288566	0.0637872348926963	0.000306036063839707
chr10:5712539:5712823:clu_1063_+	-0.0798716686247587	0.241358498994013	0.220216192561948	-0.0211423064320654
chr10:6145013:6213623:clu_1065_+	0.138831723208845	0.324139635017036	0.387662460353162	0.0635228253361266
chr10:6203336:6213623:clu_1065_+	-0.138831723208845	0.675860364982964	0.612337539646838	-0.0635228253361264
chr10:7788263:7796121:clu_1067_+	0.100742044594572	0.444936629516715	0.450145914238225	0.00520928472151005
chr10:7788263:7797047:clu_1067_+	-0.184930462449299	0.0105990186875514	0.00805851124794059	-0.0025405074396108
chr10:7796155:7797047:clu_1067_+	0.0841884178547275	0.544464351795733	0.541795574513834	-0.00266877728189929
chr10:7802854:7806974:clu_1068_+	-0.129203131778815	0.36187482719512	0.34064379287305	-0.0212310343220702
chr10:7802854:7807659:clu_1068_+	0.172923883354317	0.0204121133030081	0.0259921480401655	0.00558003473715731
chr10:7807010:7807659:clu_1068_+	-0.0437207515755017	0.617713059501872	0.633364059086785	0.0156509995849129
chr10:10919999:11165486:clu_1070_+	0.125867987425998	0.187662460901512	0.20765610881542	0.0199936479139075
chr10:11005440:11165486:clu_1070_+	0.00510347223183162	0.481833808598425	0.472516753770207	-0.00931705482821843
chr10:11005916:11165486:clu_1070_+	-0.151255753004017	0.0378674211627588	0.0317599436496283	-0.00610747751313054
chr10:11018163:11165486:clu_1070_+	-0.0024053619767197	0.161796367319879	0.157480818470201	-0.00431554884967836
chr10:11165317:11165486:clu_1070_+	0.022689655322907	0.130839942017424	0.130586375294544	-0.000253566722880127
